turn 0
loadtime 3000
turntime 1000
rows 112
cols 112
turns 1000
viewradius2 55
attackradius2 5
spawnradius2 1
player_seed 42
ready
turn 1
a 47 94 0
go
turn 69
h 37 90 0
a 39 92 0
a 43 90 0
a 46 92 0
a 47 95 0
go
turn 70
h 37 90 0
a 38 92 0
a 43 91 0
a 45 92 0
a 48 95 0
go
turn 71
w 46 103
w 47 103
w 48 103
w 49 103
w 50 103
w 51 102
w 52 102
h 37 90 0
a 39 92 0
a 44 91 0
a 44 92 0
a 48 96 0
f 55 98
go
turn 72
w 43 102
w 44 103
w 45 103
w 46 104
w 47 104
w 48 104
w 49 104
w 50 104
w 51 103
w 52 103
w 53 102
h 37 90 0
a 40 92 0
a 44 93 0
a 45 91 0
a 48 97 0
f 55 98
go
turn 73
w 43 103
w 44 104
w 45 104
w 49 105
w 50 105
w 51 104
w 52 104
w 53 103
w 54 102
h 37 90 0
a 41 92 0
a 43 93 0
a 45 92 0
a 48 98 0
f 55 98
go
turn 74
w 42 103
w 43 104
w 49 106
w 50 106
w 51 105
w 52 105
w 53 104
w 54 103
h 37 90 0
a 41 93 0
a 44 93 0
a 45 93 0
a 48 99 0
f 55 98
go
turn 75
h 37 90 0
a 42 93 0
a 44 92 0
a 45 92 0
a 48 98 0
f 55 98
go
turn 76
h 37 90 0
a 41 93 0
a 44 93 0
a 45 91 0
a 48 97 0
f 55 98
go
turn 77
h 37 90 0
a 41 92 0
a 44 94 0
a 45 90 0
a 48 96 0
f 55 98
go
turn 78
h 37 90 0
a 41 91 0
a 45 89 0
a 45 94 0
a 47 96 0
go
turn 79
w 43 81
w 44 81
h 37 90 0
a 41 92 0
a 45 88 0
a 46 94 0
a 46 96 0
go
turn 80
w 41 102
w 42 81
h 37 90 0
a 40 92 0
a 44 88 0
a 45 94 0
a 45 96 0
go
turn 81
h 37 90 0
a 41 92 0
a 44 89 0
a 45 93 0
a 45 95 0
go
turn 82
h 37 90 0
a 41 91 0
a 44 88 0
a 45 96 0
a 46 93 0
go
turn 83
h 37 90 0
a 42 91 0
a 45 88 0
a 45 95 0
a 46 94 0
go
turn 84
h 37 90 0
a 42 90 0
a 45 94 0
a 45 96 0
a 46 88 0
go
turn 85
w 40 102
w 41 103
h 37 90 0
a 43 90 0
a 44 94 0
a 45 97 0
a 46 89 0
go
turn 86
h 37 90 0
a 42 90 0
a 44 93 0
a 45 89 0
a 45 96 0
go
turn 87
h 37 90 0
a 43 90 0
a 44 94 0
a 45 97 0
a 46 89 0
go
turn 88
h 37 90 0
a 42 90 0
a 45 94 0
a 46 90 0
a 46 97 0
go
turn 89
w 42 104
h 37 90 0
a 42 91 0
a 45 95 0
a 46 98 0
a 47 90 0
go
turn 90
w 40 103
w 41 104
w 42 105
w 43 105
h 37 90 0
a 42 92 0
a 45 96 0
a 46 90 0
a 46 99 0
go
turn 91
h 37 90 0
a 42 93 0
a 45 95 0
a 46 89 0
a 46 98 0
f 49 91
go
turn 92
h 37 90 0
a 43 93 0
a 45 96 0
a 45 98 0
a 46 90 0
f 49 91
go
turn 93
w 39 103
w 40 104
h 37 90 0
a 43 92 0
a 45 90 0
a 45 99 0
a 46 96 0
f 49 91
go
turn 94
w 38 102
w 38 103
w 39 104
h 37 90 0
a 43 91 0
a 44 99 0
a 45 89 0
a 46 95 0
f 37 101
f 49 91
go
turn 95
h 37 90 0
a 44 91 0
a 45 99 0
a 46 89 0
a 46 94 0
f 49 91
go
turn 96
h 37 90 0
a 43 91 0
a 45 98 0
a 47 89 0
a 47 94 0
f 49 91
go
turn 97
h 37 90 0
a 43 90 0
a 45 99 0
a 47 90 0
a 47 93 0
f 49 91
go
turn 98
h 37 90 0
a 44 90 0
a 46 90 0
a 46 99 0
a 47 92 0
f 49 91
go
turn 99
h 37 90 0
a 44 91 0
a 45 99 0
a 47 90 0
a 47 91 0
f 49 91
go
turn 100
h 37 90 0
a 44 90 0
a 45 100 0
a 47 92 0
a 48 90 0
f 49 91
go
turn 101
w 49 107
a 45 90 0
a 45 101 0
a 46 92 0
a 48 89 0
f 49 91
go
turn 102
a 45 100 0
a 46 90 0
a 47 89 0
a 47 92 0
f 49 91
go
turn 103
a 46 100 0
a 47 90 0
a 47 91 0
a 48 89 0
f 49 91
go
turn 104
w 50 107
w 51 106
a 46 90 0
a 46 101 0
a 48 91 0
a 49 89 0
go
turn 105
w 50 108
w 51 107
w 52 106
h 37 90 0
a 37 90 0
a 46 89 0
a 46 102 0
a 48 89 0
a 48 90 0
f 31 89
go
turn 106
w 38 104
h 37 90 0
a 38 90 0
a 45 89 0
a 45 102 0
a 47 90 0
a 49 89 0
f 31 89
go
turn 107
w 37 102
w 37 103
w 37 104
h 37 90 0
a 39 90 0
a 44 102 0
a 45 90 0
a 48 89 0
a 48 90 0
f 37 101
go
turn 108
w 49 81
w 50 81
h 37 90 0
a 40 90 0
a 45 89 0
a 45 102 0
a 47 90 0
a 48 88 0
go
turn 109
w 50 80
w 51 81
h 37 90 0
a 39 90 0
a 44 89 0
a 46 102 0
a 47 89 0
a 48 87 0
go
turn 110
h 37 90 0
a 38 90 0
a 44 88 0
a 45 102 0
a 47 87 0
a 48 89 0
f 31 89
go
turn 111
w 44 80
h 37 90 0
a 38 89 0
a 45 88 0
a 46 87 0
a 46 102 0
a 48 88 0
f 31 89
go
turn 112
h 37 90 0
a 38 90 0
a 45 89 0
a 46 88 0
a 46 101 0
a 48 87 0
f 31 89
go
turn 113
h 37 90 0
a 38 89 0
a 45 90 0
a 45 101 0
a 46 87 0
a 47 87 0
f 31 89
go
turn 114
w 41 81
w 42 80
w 43 80
w 49 79
w 51 80
h 37 90 0
a 38 90 0
a 44 90 0
a 46 86 0
a 46 101 0
a 47 86 0
f 31 89
go
turn 115
w 41 80
w 43 79
w 49 78
w 50 79
w 51 79
w 52 80
h 37 90 0
a 38 91 0
a 45 86 0
a 45 90 0
a 46 102 0
a 47 85 0
f 31 89
go
turn 116
w 42 79
w 49 109
w 50 78
w 51 108
w 52 79
w 52 107
w 53 80
w 53 105
w 53 106
w 54 81
w 54 104
h 37 90 0
a 38 90 0
a 44 86 0
a 45 89 0
a 47 102 0
a 48 85 0
f 31 89
go
turn 117
h 37 90 0
a 39 90 0
a 43 86 0
a 46 89 0
a 47 85 0
a 47 101 0
go
turn 118
w 44 78
h 37 90 0
a 39 91 0
a 43 85 0
a 46 88 0
a 47 100 0
a 48 85 0
go
turn 119
w 53 79
w 54 80
w 55 81
h 37 90 0
a 38 91 0
a 43 86 0
a 47 88 0
a 47 101 0
a 49 85 0
f 31 89
go
turn 120
h 37 90 0
a 38 92 0
a 42 86 0
a 46 88 0
a 46 101 0
a 48 85 0
go
turn 121
h 37 90 0
a 39 92 0
a 42 85 0
a 46 87 0
a 46 102 0
a 49 85 0
go
turn 122
h 37 90 0
a 39 91 0
a 42 84 0
a 47 87 0
a 47 102 0
a 48 85 0
go
turn 123
h 37 90 0
a 39 92 0
a 43 84 0
a 46 87 0
a 46 102 0
a 47 85 0
go
turn 124
h 37 90 0
a 39 93 0
a 43 85 0
a 45 102 0
a 47 86 0
a 47 87 0
go
turn 125
h 37 90 0
a 40 93 0
a 43 86 0
a 44 102 0
a 46 87 0
a 48 86 0
f 37 101
go
turn 126
h 37 90 0
a 40 94 0
a 42 86 0
a 44 101 0
a 47 87 0
a 48 87 0
f 37 101
go
turn 127
h 37 90 0
a 40 93 0
a 41 86 0
a 44 100 0
a 47 88 0
a 49 87 0
f 37 101
go
turn 128
w 35 81
h 37 90 0
a 40 92 0
a 41 85 0
a 44 99 0
a 48 87 0
a 48 88 0
f 37 101
go
turn 129
h 37 90 0
a 41 92 0
a 42 85 0
a 44 100 0
a 48 86 0
a 48 89 0
f 37 101
go
turn 130
h 37 90 0
a 40 92 0
a 42 84 0
a 44 101 0
a 48 87 0
a 49 89 0
f 37 101
go
turn 131
w 35 80
w 36 79
h 37 90 0
a 40 91 0
a 41 84 0
a 45 101 0
a 48 89 0
a 49 87 0
go
turn 132
w 34 80
w 34 81
w 35 79
h 37 90 0
a 40 84 0
a 41 91 0
a 44 101 0
a 47 89 0
a 48 87 0
f 37 101
go
turn 133
w 34 79
w 35 78
w 36 77
h 37 90 0
a 40 83 0
a 41 90 0
a 44 102 0
a 46 89 0
a 47 87 0
f 37 101
go
turn 134
h 37 90 0
a 41 83 0
a 41 91 0
a 45 89 0
a 45 102 0
a 46 87 0
go
turn 135
h 37 90 0
a 41 84 0
a 42 91 0
a 44 102 0
a 45 87 0
a 45 88 0
f 37 101
go
turn 136
h 37 90 0
a 42 84 0
a 42 90 0
a 44 101 0
a 45 88 0
a 46 88 0
f 37 101
go
turn 137
h 37 90 0
a 43 84 0
a 43 90 0
a 44 100 0
a 45 87 0
a 46 87 0
f 37 101
go
turn 138
w 36 102
h 37 90 0
a 43 91 0
a 43 100 0
a 44 84 0
a 45 88 0
a 46 86 0
f 37 101
go
turn 139
h 37 90 0
a 43 99 0
a 44 88 0
a 44 91 0
a 45 84 0
a 46 85 0
f 37 101
go
turn 140
h 37 90 0
a 44 84 0
a 44 90 0
a 44 99 0
a 45 88 0
a 47 85 0
f 37 101
go
turn 141
h 37 90 0
a 44 89 0
a 44 98 0
a 45 84 0
a 46 88 0
a 47 84 0
go
turn 142
w 52 78
h 37 90 0
a 44 88 0
a 44 99 0
a 45 85 0
a 47 83 0
a 47 88 0
f 37 101
go
turn 143
a 43 99 0
a 44 85 0
a 45 88 0
a 47 82 0
a 47 89 0
f 37 101
f 49 75
go
turn 144
a 44 86 0
a 44 99 0
a 45 87 0
a 46 82 0
a 47 88 0
f 37 101
go
turn 145
a 43 99 0
a 44 85 0
a 45 88 0
a 47 82 0
a 48 88 0
f 37 101
f 49 75
go
turn 146
a 44 99 0
a 45 85 0
a 45 89 0
a 47 83 0
a 47 88 0
f 37 101
go
turn 147
a 44 100 0
a 45 90 0
a 46 83 0
a 46 85 0
a 46 88 0
f 37 101
go
turn 148
a 45 100 0
a 46 82 0
a 46 86 0
a 46 89 0
a 46 90 0
go
turn 149
a 45 82 0
a 45 90 0
a 45 99 0
a 46 87 0
a 46 90 0
go
turn 150
h 37 90 0
a 44 82 0
a 44 90 0
a 45 87 0
a 46 99 0
a 47 90 0
go
turn 151
h 37 90 0
a 44 89 0
a 45 82 0
a 45 86 0
a 45 99 0
a 47 91 0
go
turn 152
a 44 82 0
a 45 89 0
a 45 100 0
a 46 86 0
a 46 91 0
go
turn 153
a 44 100 0
a 45 82 0
a 46 89 0
a 47 86 0
a 47 91 0
f 37 101
go
turn 154
a 44 99 0
a 46 82 0
a 46 90 0
a 46 91 0
a 47 87 0
f 37 101
go
turn 155
a 43 99 0
a 46 81 0
a 46 89 0
a 46 90 0
a 48 87 0
f 37 101
f 49 75
go
turn 156
a 44 99 0
a 45 81 0
a 45 89 0
a 47 90 0
a 49 87 0
f 37 101
f 49 75
go
turn 157
a 45 82 0
a 45 99 0
a 46 89 0
a 48 87 0
a 48 90 0
go
turn 158
a 45 83 0
a 45 98 0
a 46 90 0
a 47 87 0
a 47 90 0
go
turn 159
a 45 82 0
a 45 99 0
a 46 91 0
a 47 88 0
a 47 89 0
go
turn 160
a 45 83 0
a 45 100 0
a 46 92 0
a 47 87 0
a 47 90 0
go
turn 161
a 44 100 0
a 46 83 0
a 47 88 0
a 47 92 0
a 48 90 0
f 37 101
go
turn 162
a 44 101 0
a 46 84 0
a 47 87 0
a 47 90 0
a 47 91 0
f 37 101
go
turn 163
a 44 100 0
a 45 84 0
a 46 90 0
a 46 91 0
a 47 88 0
f 37 101
go
turn 164
a 44 99 0
a 45 83 0
a 45 90 0
a 45 91 0
a 47 89 0
f 37 101
go
turn 165
h 37 90 0
a 44 90 0
a 44 98 0
a 45 92 0
a 46 83 0
a 46 89 0
go
turn 166
h 37 90 0
a 44 89 0
a 44 97 0
a 45 83 0
a 45 89 0
a 45 93 0
go
turn 167
h 37 90 0
a 44 90 0
a 44 93 0
a 44 98 0
a 45 84 0
a 45 88 0
go
turn 168
h 37 90 0
a 43 90 0
a 44 88 0
a 44 92 0
a 44 97 0
a 45 83 0
go
turn 169
h 37 90 0
a 42 90 0
a 43 97 0
a 44 93 0
a 45 82 0
a 45 88 0
f 37 101
go
turn 170
h 37 90 0
a 42 91 0
a 43 98 0
a 45 83 0
a 45 93 0
a 46 88 0
f 37 101
go
turn 171
h 37 90 0
a 42 92 0
a 42 98 0
a 45 84 0
a 45 88 0
a 45 92 0
f 37 101
go
turn 172
w 36 103
h 37 90 0
a 42 91 0
a 42 99 0
a 44 84 0
a 45 89 0
a 45 93 0
f 37 101
go
turn 173
h 37 90 0
a 43 84 0
a 43 91 0
a 43 99 0
a 45 90 0
a 45 94 0
f 37 101
go
turn 174
h 37 90 0
a 42 84 0
a 43 90 0
a 43 100 0
a 46 90 0
a 46 94 0
f 37 101
go
turn 175
w 35 102
w 36 104
w 37 105
h 37 90 0
a 42 85 0
a 42 100 0
a 43 91 0
a 46 91 0
a 46 95 0
f 37 101
go
turn 176
w 34 102
w 35 103
w 35 104
h 37 90 0
a 41 100 0
a 42 86 0
a 44 91 0
a 45 91 0
a 47 95 0
f 37 101
go
turn 177
w 34 103
h 37 90 0
a 41 101 0
a 43 86 0
a 44 90 0
a 45 90 0
a 47 96 0
f 37 101
go
turn 178
w 33 103
w 34 104
h 37 90 0
a 40 101 0
a 42 86 0
a 44 89 0
a 46 90 0
a 46 96 0
f 37 101
go
turn 179
w 32 102
w 32 103
w 33 104
w 33 105
h 37 90 0
a 39 101 0
a 41 86 0
a 45 89 0
a 46 89 0
a 46 97 0
f 37 101
go
turn 180
h 37 90 0
a 40 101 0
a 42 86 0
a 45 88 0
a 47 89 0
a 47 97 0
f 37 101
go
turn 181
h 37 90 0
a 39 101 0
a 43 86 0
a 45 89 0
a 47 88 0
a 48 97 0
f 37 101
f 55 98
go
turn 182
w 31 102
w 31 103
w 32 104
h 37 90 0
a 38 101 0
a 42 86 0
a 46 88 0
a 46 89 0
a 48 98 0
f 55 98
go
turn 183
h 37 90 0
a 37 90 0
a 39 101 0
a 42 85 0
a 46 89 0
a 47 89 0
a 47 98 0
f 31 89
go
turn 184
h 37 90 0
a 38 90 0
a 40 101 0
a 42 86 0
a 46 90 0
a 47 97 0
a 48 89 0
f 31 89
go
turn 185
h 37 90 0
a 38 91 0
a 41 101 0
a 43 86 0
a 47 90 0
a 48 88 0
a 48 97 0
f 31 89
f 55 98
go
turn 186
h 37 90 0
a 37 91 0
a 42 101 0
a 44 86 0
a 46 90 0
a 47 88 0
a 49 97 0
f 31 89
f 55 98
go
turn 187
h 37 90 0
a 38 91 0
a 42 100 0
a 44 85 0
a 46 89 0
a 47 89 0
a 48 97 0
f 31 89
f 55 98
go
turn 188
h 37 90 0
a 37 91 0
a 42 99 0
a 45 85 0
a 47 88 0
a 47 89 0
a 47 97 0
f 31 89
go
turn 189
h 37 90 0
a 37 92 0
a 43 99 0
a 44 85 0
a 47 89 0
a 47 96 0
a 48 89 0
f 31 89
go
turn 190
h 37 90 0
a 37 93 0
a 43 85 0
a 43 98 0
a 47 95 0
a 48 88 0
a 48 89 0
f 31 89
f 40 99
go
turn 191
w 30 96
h 37 90 0
a 37 94 0
a 42 85 0
a 44 98 0
a 47 88 0
a 47 89 0
a 48 95 0
f 40 99
go
turn 192
h 37 90 0
a 37 93 0
a 42 86 0
a 43 98 0
a 46 89 0
a 47 89 0
a 48 94 0
f 31 89
f 40 99
go
turn 193
h 37 90 0
a 38 93 0
a 43 86 0
a 44 98 0
a 46 90 0
a 48 89 0
a 48 95 0
f 40 99
go
turn 194
h 37 90 0
a 38 92 0
a 43 85 0
a 45 98 0
a 47 90 0
a 47 95 0
a 48 90 0
f 40 99
go
turn 195
h 37 90 0
a 39 92 0
a 43 84 0
a 46 90 0
a 46 98 0
a 47 90 0
a 47 94 0
f 40 99
go
turn 196
h 37 90 0
a 39 91 0
a 42 84 0
a 46 89 0
a 46 99 0
a 47 89 0
a 48 94 0
f 40 99
go
turn 197
h 37 90 0
a 38 91 0
a 41 84 0
a 46 90 0
a 46 100 0
a 48 89 0
a 48 93 0
f 31 89
f 40 99
go
turn 198
h 37 90 0
a 39 91 0
a 42 84 0
a 45 100 0
a 47 89 0
a 47 90 0
a 49 93 0
f 40 99
go
turn 199
h 37 90 0
a 40 91 0
a 42 85 0
a 45 101 0
a 46 89 0
a 48 90 0
a 49 92 0
f 40 99
go
turn 200
h 37 90 0
a 40 90 0
a 42 86 0
a 46 90 0
a 46 101 0
a 48 91 0
a 49 91 0
f 40 99
go
turn 201
h 37 90 0
a 39 90 0
a 42 85 0
a 45 90 0
a 45 101 0
a 47 91 0
a 49 92 0
f 40 99
go
turn 202
h 37 90 0
a 38 90 0
a 42 86 0
a 44 101 0
a 45 89 0
a 48 91 0
a 49 91 0
f 31 89
f 40 99
go
turn 203
h 37 90 0
a 38 91 0
a 43 86 0
a 45 88 0
a 45 101 0
a 48 92 0
a 49 92 0
f 31 89
f 40 99
go
turn 204
h 37 90 0
a 37 91 0
a 43 85 0
a 45 89 0
a 45 102 0
a 48 93 0
a 49 93 0
f 31 89
f 40 99
go
turn 205
h 37 90 0
a 37 90 0
a 43 84 0
a 44 102 0
a 45 88 0
a 49 92 0
a 49 93 0
f 31 89
f 40 99
go
turn 206
h 37 90 0
a 38 90 0
a 43 85 0
a 44 101 0
a 45 89 0
a 48 93 0
a 49 91 0
f 31 89
f 40 99
go
turn 207
h 37 90 0
a 39 90 0
a 44 85 0
a 44 102 0
a 46 89 0
a 48 94 0
a 49 92 0
f 40 99
go
turn 208
h 37 90 0
a 40 90 0
a 43 85 0
a 44 101 0
a 45 89 0
a 48 92 0
a 48 95 0
f 40 99
go
turn 209
h 37 90 0
a 40 89 0
a 42 85 0
a 44 100 0
a 45 88 0
a 48 91 0
a 48 96 0
f 40 99
f 55 98
go
turn 210
h 37 90 0
a 40 90 0
a 41 85 0
a 44 88 0
a 44 101 0
a 48 90 0
a 48 97 0
f 40 99
f 55 98
go
turn 211
h 37 90 0
a 39 90 0
a 41 84 0
a 44 100 0
a 45 88 0
a 48 91 0
a 49 97 0
f 40 99
f 55 98
go
turn 212
h 37 90 0
a 39 91 0
a 41 85 0
a 43 100 0
a 44 88 0
a 48 97 0
a 49 91 0
f 40 99
f 55 98
go
turn 213
h 37 90 0
a 40 91 0
a 42 85 0
a 42 100 0
a 45 88 0
a 48 91 0
a 48 96 0
f 40 99
f 55 98
go
turn 214
h 37 90 0
a 39 91 0
a 42 84 0
a 43 100 0
a 45 89 0
a 48 97 0
a 49 91 0
f 40 99
f 55 98
go
turn 215
h 37 90 0
a 40 91 0
a 43 84 0
a 43 99 0
a 44 89 0
a 48 91 0
a 48 98 0
f 40 99
f 55 98
go
turn 216
h 37 90 0
a 40 90 0
a 43 85 0
a 43 98 0
a 44 90 0
a 48 97 0
a 49 91 0
f 40 99
f 55 98
go
turn 217
h 37 90 0
a 41 90 0
a 43 84 0
a 43 97 0
a 44 89 0
a 48 91 0
a 48 98 0
f 40 99
f 55 98
go
turn 218
h 37 90 0
a 40 90 0
a 43 85 0
a 44 88 0
a 44 97 0
a 48 90 0
a 48 97 0
f 40 99
f 55 98
go
turn 219
h 37 90 0
a 40 91 0
a 43 86 0
a 43 97 0
a 44 89 0
a 47 90 0
a 48 98 0
f 40 99
f 55 98
go
turn 220
h 37 90 0
a 40 92 0
a 43 85 0
a 44 97 0
a 45 89 0
a 47 91 0
a 48 97 0
f 40 99
f 55 98
go
turn 221
h 37 90 0
